strategy,initial_capital,trade_id,entry_date,expiry_date,net_pnl,costs,equity_after,peak_equity,current_dd_pct
IRON_CONDOR,100000.0,IRON_CONDOR_2020-06-05_2020-06-11,2020-06-05,2020-06-11,-4049.19,1165.44,86572.43,100000.0,13.43
IRON_CONDOR,100000.0,IRON_CONDOR_2020-06-12_2020-06-18,2020-06-12,2020-06-18,-3920.32,1182.82,82652.11,100000.0,17.35
IRON_CONDOR,100000.0,IRON_CONDOR_2020-06-26_2020-07-02,2020-06-26,2020-07-02,-16323.76,1278.76,66328.35,100000.0,33.67
IRON_CONDOR,100000.0,IRON_CONDOR_2020-09-25_2020-10-01,2020-09-25,2020-10-01,-9044.29,1034.29,57284.06,100000.0,42.72
IRON_CONDOR,100000.0,IRON_CONDOR_2020-10-05_2020-10-08,2020-10-05,2020-10-08,-17804.2,1094.2,39479.86,100000.0,60.52
IRON_CONDOR,100000.0,IRON_CONDOR_2020-10-23_2020-10-29,2020-10-23,2020-10-29,-781.94,1025.69,38697.92,100000.0,61.3
IRON_CONDOR,100000.0,IRON_CONDOR_2020-10-30_2020-11-05,2020-10-30,2020-11-05,-2594.54,1053.29,36103.38,100000.0,63.9
IRON_CONDOR,100000.0,IRON_CONDOR_2020-11-27_2020-12-03,2020-11-27,2020-12-03,-2829.26,1209.26,33274.12,100000.0,66.73
IRON_CONDOR,100000.0,IRON_CONDOR_2020-12-11_2020-12-17,2020-12-11,2020-12-17,-3597.8,1164.05,29676.32,100000.0,70.32
IRON_CONDOR,100000.0,IRON_CONDOR_2020-12-18_2020-12-24,2020-12-18,2020-12-24,4884.2,1284.55,34560.52,100000.0,65.44
IRON_CONDOR,100000.0,IRON_CONDOR_2021-01-29_2021-02-04,2021-01-29,2021-02-04,-21305.03,1085.03,13255.49,100000.0,86.74
