signal_timestamp,order_timestamp,fill_timestamp,signal_date,execution_date,year,month,expiry_date,exit_date,exit_reason,dte_sessions,vix,signal_spot,exec_spot,type,long_strike,short_strike,wing_width,strike_offset,long_raw_price,short_raw_price,long_fill_price,short_fill_price,debit_pts,lot_size,capital_required_inr,settlement_price,exit_spread_val,gross_payoff_inr,statutory_costs_inr,net_pnl_inr,is_win,cum_net_pnl,candidate_id,candidate_name,in_primary_5y,strategy_source
2021-09-02 15:30:00,2021-09-03 09:15:00,2021-09-03 09:15:00,2021-09-02,2021-09-03,2021,2021-09,2021-09-09,2021-09-09,EXPIRY_SETTLEMENT,4,14.19,17234.15,17262.45,BULL_CALL,17300.0,17450.0,150.0,50.0,88.05,79.0,88.15,78.9,9.25,50,462.5,17369.25,69.25,3000.0,61.11,2938.89,1,-6489.879999999999,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-09-23 15:30:00,2021-09-24 09:15:00,2021-09-24 09:15:00,2021-09-23,2021-09-24,2021,2021-09,2021-09-30,2021-09-30,EXPIRY_SETTLEMENT,4,16.49,17822.95,17897.45,BULL_CALL,17950.0,18100.0,150.0,50.0,103.6,58.5,103.7,58.4,45.3,50,2265.0,17618.15,0.0,-2265.0,53.97,-2318.97,0,-8808.849999999999,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2021-10-28 15:30:00,2021-10-29 09:15:00,2021-10-29 09:15:00,2021-10-28,2021-10-29,2021,2021-10,2021-11-03,2021-11-03,EXPIRY_SETTLEMENT,3,16.83,17857.25,17833.05,BEAR_PUT,17800.0,17650.0,150.0,50.0,122.0,84.25,122.1,84.15,37.95,50,1897.5,17829.2,0.0,-1897.5,56.11,-1953.61,0,-10762.46,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2021-11-26 15:30:00,2021-11-29 09:15:00,2021-11-29 09:15:00,2021-11-26,2021-11-29,2021,2021-11,2021-12-02,2021-12-02,EXPIRY_SETTLEMENT,3,16.66,17026.45,17055.8,BEAR_PUT,17000.0,16850.0,150.0,50.0,145.0,116.0,145.1,115.9,29.2,50,1460.0,17401.65,0.0,-1460.0,58.75,-1518.75,0,-12281.21,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2021-12-20 15:30:00,2021-12-21 09:15:00,2021-12-21 09:15:00,2021-12-20,2021-12-21,2021,2021-12,2021-12-23,2021-12-23,EXPIRY_SETTLEMENT,2,16.34,16614.2,16773.15,BEAR_PUT,16700.0,16550.0,150.0,50.0,119.95,77.4,120.05,77.3,42.75,50,2137.5,17072.6,0.0,-2137.5,55.63,-2193.13,0,-14474.34,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2021-12-31 15:30:00,2022-01-03 09:15:00,2022-01-03 09:15:00,2021-12-31,2022-01-03,2022,2022-01,2022-01-06,2022-01-06,EXPIRY_SETTLEMENT,3,16.57,17354.05,17387.15,BULL_CALL,17450.0,17600.0,150.0,50.0,84.05,32.95,84.15,32.85,51.3,50,2565.0,17745.9,150.0,4935.0,83.36,4851.64,1,-9622.7,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2022-01-21 15:30:00,2022-01-24 09:15:00,2022-01-24 09:15:00,2022-01-21,2022-01-24,2022,2022-01,2022-01-27,2022-01-27,EXPIRY_SETTLEMENT,2,17.79,17617.15,17575.15,BEAR_PUT,17550.0,17400.0,150.0,50.0,125.0,57.95,125.1,57.85,67.25,50,3362.5,17110.15,150.0,4137.5,103.66,4033.84,1,-5588.860000000001,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2022-02-14 15:30:00,2022-02-15 09:15:00,2022-02-15 09:15:00,2022-02-14,2022-02-15,2022,2022-02,2022-02-17,2022-02-17,EXPIRY_SETTLEMENT,2,18.68,16842.8,16933.25,BEAR_PUT,16900.0,16750.0,150.0,50.0,190.0,144.65,190.1,144.55,45.55,50,2277.5,17304.6,0.0,-2277.5,61.89,-2339.39,0,-7928.25,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2022-04-01 15:30:00,2022-04-04 09:15:00,2022-04-04 09:15:00,2022-04-01,2022-04-04,2022,2022-04,2022-04-07,2022-04-07,EXPIRY_SETTLEMENT,3,20.56,17670.45,17809.1,BULL_CALL,17850.0,18000.0,150.0,50.0,73.0,30.25,73.1,30.15,42.95,50,2147.5,17639.55,0.0,-2147.5,51.3,-2198.8,0,-10127.05,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
2022-04-18 15:30:00,2022-04-19 09:15:00,2022-04-19 09:15:00,2022-04-18,2022-04-19,2022,2022-04,2022-04-21,2022-04-21,EXPIRY_SETTLEMENT,2,17.79,17173.65,17258.95,BEAR_PUT,17200.0,17050.0,150.0,50.0,105.0,45.4,105.1,45.3,59.8,50,2990.0,17392.6,0.0,-2990.0,53.22,-3043.22,0,-13170.269999999999,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),1,
