trade_id,candidate,sess,expiry,spot,settle,vix,rsi,em,lot,structure,spread_type,short_strike,wing_strike,short_fill,wing_fill,credit_pts,wing_width,max_risk,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net
73,C1_TREND_AUTO_1.8SD_W200,2024-08-29,2024-09-05,25151.95,25145.1,13.95,65.4184616458731,410.66,25,spread,BULL_PUT,24400.0,24200.0,9.42,6.57,2.85,200.0,4928.75,71.25,40.0,0.15,0.2,7.24,0.0,0.0,5.0,52.59,18.66
74,C1_TREND_AUTO_1.8SD_W200,2024-09-05,2024-09-12,25145.1,25388.9,14.38,66.04122497386456,423.21,25,spread,BULL_PUT,24400.0,24200.0,8.42,5.87,2.55,200.0,4936.25,63.75,40.0,0.13,0.18,7.23,0.0,0.0,5.0,52.55,11.2
75,C1_TREND_AUTO_1.8SD_W200,2024-09-12,2024-09-19,25388.9,25415.8,13.63,52.87126375546594,405.02,25,spread,BULL_PUT,24650.0,24450.0,19.74,13.14,6.6,200.0,4835.0,165.0,40.0,0.31,0.41,7.27,0.01,0.0,5.0,53.0,112.0
76,C1_TREND_AUTO_1.8SD_W200,2024-09-19,2024-09-26,25415.8,26216.05,13.37,62.954284327108226,397.72,25,spread,BULL_PUT,24700.0,24500.0,20.04,14.09,5.95,200.0,4851.25,148.75,40.0,0.31,0.43,7.28,0.01,0.0,5.0,53.03,95.72
77,C1_TREND_AUTO_1.8SD_W200,2024-10-03,2024-10-10,25250.1,24998.45,11.99,60.78981739837023,354.34,25,spread,BULL_PUT,24600.0,24400.0,28.81,19.36,9.45,200.0,4763.75,236.25,40.0,0.72,0.6,7.31,0.01,0.0,5.0,53.65,182.6
78,C1_TREND_AUTO_1.8SD_W200,2024-10-10,2024-10-17,24998.45,24749.85,14.12,42.01056815954167,413.13,25,spread,BEAR_CALL,25750.0,25950.0,8.77,4.76,4.01,200.0,4899.75,100.25,40.0,0.22,0.17,7.23,0.0,0.0,5.0,52.62,47.63
79,C1_TREND_AUTO_1.8SD_W200,2024-10-17,2024-10-24,24749.85,24399.4,13.05,42.749864450158896,378.03,25,spread,BEAR_CALL,25450.0,25650.0,10.67,5.82,4.85,200.0,4878.75,121.25,40.0,0.27,0.21,7.24,0.0,0.0,5.0,52.71,68.54
80,C1_TREND_AUTO_1.8SD_W200,2024-11-07,2024-11-14,24199.35,23532.7,14.87,46.05006762928595,421.17,25,spread,BEAR_CALL,24950.0,25150.0,9.47,5.37,4.1,200.0,4897.5,102.5,40.0,0.24,0.19,7.23,0.0,0.0,5.0,52.66,49.84
81,C1_TREND_AUTO_1.8SD_W200,2024-11-28,2024-12-05,23914.15,24708.4,14.63,52.186298101050234,409.48,25,spread,BEAR_CALL,24650.0,24850.0,17.15,7.62,9.53,200.0,4761.75,-1221.75,40.0,0.43,1.04,7.39,0.01,0.0,5.0,53.86,-1275.61
82,C1_TREND_AUTO_1.8SD_W200,2024-12-05,2024-12-12,24708.4,24548.7,14.45,55.890984817066744,417.88,25,spread,BULL_PUT,23950.0,23750.0,36.99,22.42,14.57,200.0,4635.75,364.25,40.0,0.92,0.74,7.33,0.02,0.0,5.0,54.02,310.23
83,C1_TREND_AUTO_1.8SD_W200,2024-12-12,2024-12-19,24548.7,23951.7,13.27,58.28296645386396,381.27,25,spread,BULL_PUT,23850.0,23650.0,12.51,6.97,5.54,200.0,4861.5,138.5,40.0,0.31,0.24,7.24,0.01,0.0,5.0,52.81,85.69
84,C1_TREND_AUTO_1.8SD_W200,2024-12-26,2025-01-02,23750.2,24188.65,13.18,38.18226969848414,366.37,75,spread,BEAR_CALL,24400.0,24600.0,15.65,6.22,9.43,200.0,14292.75,707.25,40.0,1.17,0.82,7.35,0.01,0.0,15.0,64.36,642.89
85,C1_TREND_AUTO_1.8SD_W200,2025-01-02,2025-01-09,24188.65,23526.5,14.51,40.678719182310715,410.79,75,spread,BULL_PUT,23450.0,23250.0,22.38,13.24,9.14,200.0,14314.5,685.5,40.0,1.68,1.34,7.44,0.03,0.0,15.0,65.49,620.01
86,C1_TREND_AUTO_1.8SD_W200,2025-01-09,2025-01-16,23526.5,23311.8,14.47,42.63405923231433,398.44,75,spread,BEAR_CALL,24250.0,24450.0,12.51,5.47,7.04,200.0,14472.0,528.0,40.0,0.94,0.67,7.32,0.01,0.0,15.0,63.95,464.05
87,C1_TREND_AUTO_1.8SD_W200,2025-01-23,2025-01-30,23205.35,23249.5,16.77,39.22961634094112,455.47,25,spread,BEAR_CALL,24050.0,24250.0,8.27,4.41,3.86,200.0,4903.5,96.5,40.0,0.21,0.16,7.23,0.0,0.0,5.0,52.6,43.9
88,C1_TREND_AUTO_1.8SD_W200,2025-01-30,2025-02-06,23249.5,23603.35,18.64,43.58672801076352,507.22,75,spread,BEAR_CALL,24150.0,24350.0,48.9,29.04,19.86,200.0,13510.5,1489.5,40.0,3.67,2.92,7.73,0.07,0.01,15.0,69.39,1420.11
89,C1_TREND_AUTO_1.8SD_W200,2025-02-06,2025-02-13,23603.35,23031.4,14.08,55.61172802748801,388.97,75,spread,BEAR_CALL,24300.0,24500.0,14.71,6.82,7.89,200.0,14408.25,591.75,40.0,1.1,0.81,7.35,0.02,0.0,15.0,64.27,527.48
90,C1_TREND_AUTO_1.8SD_W200,2025-02-13,2025-02-20,23031.4,22913.15,14.9,40.91065578931939,401.65,75,spread,BEAR_CALL,23750.0,23950.0,12.11,5.32,6.79,200.0,14490.75,509.25,40.0,0.91,0.65,7.32,0.01,0.0,15.0,63.89,445.36
91,C1_TREND_AUTO_1.8SD_W200,2025-03-20,2025-03-27,23190.65,23591.95,13.3,56.03034430433071,361.0,75,spread,BULL_PUT,22550.0,22350.0,12.51,7.72,4.79,200.0,14640.75,359.25,40.0,0.94,0.76,7.34,0.02,0.0,15.0,64.05,295.2
92,C1_TREND_AUTO_1.8SD_W200,2025-04-30,2025-05-08,24334.2,24273.8,17.37,65.03992690743334,494.72,75,spread,BULL_PUT,23450.0,23250.0,55.38,41.67,13.71,200.0,13971.75,1028.25,40.0,4.15,3.64,7.86,0.09,0.01,15.0,70.75,957.5
93,C1_TREND_AUTO_1.8SD_W200,2025-05-08,2025-05-15,24273.8,25062.1,19.06,65.04295910639829,541.5,75,spread,BULL_PUT,23300.0,23100.0,96.16,83.3,12.86,200.0,14035.5,964.5,40.0,7.21,6.73,8.41,0.19,0.01,15.0,77.56,886.94
94,C1_TREND_AUTO_1.8SD_W200,2025-05-15,2025-05-22,25062.1,24609.7,17.23,61.49006904368925,505.41,75,spread,BULL_PUT,24150.0,23950.0,28.66,20.61,8.05,200.0,14396.25,603.75,40.0,2.15,1.85,7.53,0.05,0.0,15.0,66.58,537.17
