trade_id,strategy,underlying,entry_date,expiry_date,spot_entry,spot_settle,atm_strike,lot_size,margin_required,net_credit_pts,max_loss_pts,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_stamp,slippage,total_costs,net_pnl,exit_reason,is_winner,contracts_json,year,year_month
OTM_STRANGLE_2025-11-12_2025-11-18,OTM_STRANGLE,NIFTY,2025-11-12,2025-11-18,25875.8,25910.05,25900.0,75,130000.0,212.05,530.12,15903.75,80.0,15.9,7.95,15.83,0.02,150.0,269.71,15634.04,EXPIRY,True,"['short_ce:26000.0CE@92.0->0.0', 'short_pe:25800.0PE@120.05->0.0']",2025,2025-11
OTM_STRANGLE_2025-11-19_2025-11-25,OTM_STRANGLE,NIFTY,2025-11-19,2025-11-25,26052.65,25884.8,26050.0,75,130000.0,238.05,595.12,12963.75,80.0,17.85,11.37,16.45,0.17,150.0,275.85,12687.9,EXPIRY,True,"['short_ce:26150.0CE@75.0->0.0', 'short_pe:25950.0PE@163.05->65.20000000000073']",2025,2025-11
OTM_STRANGLE_2025-11-26_2025-12-02,OTM_STRANGLE,NIFTY,2025-11-26,2025-12-02,26205.3,26032.2,26200.0,75,130000.0,275.15,687.88,15551.25,80.0,20.64,12.86,16.72,0.18,150.0,280.39,15270.86,EXPIRY,True,"['short_ce:26300.0CE@31.15->0.0', 'short_pe:26100.0PE@244.0->67.79999999999927']",2025,2025-11
OTM_STRANGLE_2025-12-03_2025-12-09,OTM_STRANGLE,NIFTY,2025-12-03,2025-12-09,25986.0,25839.65,26000.0,75,130000.0,199.25,498.12,10417.5,80.0,14.94,9.73,16.16,0.16,150.0,270.99,10146.51,EXPIRY,True,"['short_ce:26100.0CE@136.1->0.0', 'short_pe:25900.0PE@63.15->60.349999999998545']",2025,2025-12
OTM_STRANGLE_2025-12-10_2025-12-16,OTM_STRANGLE,NIFTY,2025-12-10,2025-12-16,25758.0,25860.1,25750.0,75,130000.0,199.05,497.62,14171.25,80.0,14.93,7.84,15.81,0.04,150.0,268.62,13902.63,EXPIRY,True,"['short_ce:25850.0CE@149.8->10.099999999998545', 'short_pe:25650.0PE@49.25->0.0']",2025,2025-12
OTM_STRANGLE_2025-12-17_2025-12-23,OTM_STRANGLE,NIFTY,2025-12-17,2025-12-23,25818.55,26177.15,25800.0,75,130000.0,174.6,436.5,-7691.25,80.0,13.09,16.94,17.46,0.66,150.0,278.15,-7969.4,EXPIRY,False,"['short_ce:25900.0CE@133.0->277.15000000000146', 'short_pe:25700.0PE@41.6->0.0']",2025,2025-12
OTM_STRANGLE_2025-12-26_2025-12-30,OTM_STRANGLE,NIFTY,2025-12-26,2025-12-30,26042.3,25938.85,26050.0,75,130000.0,110.5,276.25,7451.25,80.0,8.29,4.56,15.22,0.03,150.0,258.11,7193.14,EXPIRY,True,"['short_ce:26150.0CE@90.0->0.0', 'short_pe:25950.0PE@20.5->11.150000000001455']",2025,2025-12
OTM_STRANGLE_2025-12-31_2026-01-06,OTM_STRANGLE,NIFTY,2025-12-31,2026-01-06,26129.6,26178.7,26150.0,65,130000.0,150.6,376.5,9789.0,80.0,9.79,4.89,15.28,0.01,130.0,239.98,9549.02,EXPIRY,True,"['short_ce:26250.0CE@29.9->0.0', 'short_pe:26050.0PE@120.7->0.0']",2025,2025-12
OTM_STRANGLE_2026-01-07_2026-01-13,OTM_STRANGLE,NIFTY,2026-01-07,2026-01-13,26140.75,25732.3,26150.0,65,130000.0,148.95,372.38,-10968.75,80.0,9.68,15.17,17.14,0.65,130.0,252.63,-11221.38,EXPIRY,False,"['short_ce:26250.0CE@77.0->0.0', 'short_pe:26050.0PE@71.95->317.7000000000007']",2026,2026-01
OTM_STRANGLE_2026-01-14_2026-01-20,OTM_STRANGLE,NIFTY,2026-01-14,2026-01-20,25665.6,25232.5,25650.0,65,130000.0,189.95,474.88,-8290.75,80.0,12.35,16.49,17.37,0.65,130.0,256.87,-8547.62,EXPIRY,False,"['short_ce:25750.0CE@115.0->0.0', 'short_pe:25550.0PE@74.95->317.5']",2026,2026-01
OTM_STRANGLE_2026-01-21_2026-01-27,OTM_STRANGLE,NIFTY,2026-01-21,2026-01-27,25157.5,25175.4,25150.0,65,130000.0,251.85,629.62,16370.25,80.0,16.37,8.19,15.88,0.02,130.0,250.45,16119.8,EXPIRY,True,"['short_ce:25250.0CE@164.0->0.0', 'short_pe:25050.0PE@87.85->0.0']",2026,2026-01
