sess,expiry,spot,settle,vix,rsi,credit_pts,width,max_risk,lot,gross,costs,net,n_legs,oos,breach,ret_on_risk
2025-10-07,2025-10-14,25108.3,25145.5,10.19,55.258740519054015,6.79,200.0,14490.75,75,509.25,126.54,382.71,4,False,False,2.6410641271155737
2025-11-11,2025-11-18,25694.95,25910.05,12.3,52.07867877762285,10.4,200.0,14220.0,75,780.0,127.67,652.33,4,False,False,4.5874120956399445
2025-11-18,2025-11-25,25910.05,25884.8,11.79,65.1207621696002,12.37,200.0,14072.25,75,927.75,128.2,799.55,4,False,False,5.681749542539395
2025-11-25,2025-12-02,25884.8,26032.2,13.24,57.376222612463465,4.94,200.0,14629.5,75,370.5,126.25,244.25,4,False,False,1.6695717556991012
2025-12-02,2025-12-09,26032.2,25839.65,11.63,61.66021502830133,8.23,200.0,14382.75,75,617.25,126.77,490.48,4,False,False,3.4101962420260383
2025-12-09,2025-12-16,25839.65,25860.1,11.13,51.16205784765629,7.42,200.0,14443.5,75,556.5,126.87,429.63,4,False,False,2.9745560286634127
2025-12-16,2025-12-23,25860.1,26177.15,10.25,53.67667329588778,8.36,200.0,14373.0,75,627.0,127.07,499.93,4,False,False,3.4782578445696792
2025-12-30,2026-01-06,25938.85,26178.7,9.72,49.059957733449686,5.54,200.0,12639.9,65,360.1,121.98,238.12,4,False,False,1.8838756635732878
2026-01-06,2026-01-13,26178.7,25732.3,10.02,58.7850455287297,4.45,200.0,12710.75,65,289.25,121.83,167.42,4,False,False,1.3171528037291267
2026-02-10,2026-02-17,25935.15,25725.4,12.19,56.03380116923706,6.23,200.0,12595.05,65,404.95,123.38,281.57,4,False,False,2.235560795709426
2026-02-17,2026-02-24,25725.4,25424.65,13.33,50.31798452442426,8.28,200.0,12461.8,65,538.2,123.62,414.58,4,False,False,3.326806721340416
2026-04-13,2026-04-21,23842.65,24576.6,18.85,54.22788185576764,27.41,200.0,11218.35,65,1781.65,130.7,1650.95,4,False,False,14.716513569286036
2026-04-21,2026-04-28,24576.6,23995.7,18.79,57.23931796624087,15.25,200.0,12008.75,65,991.25,125.56,865.69,4,False,False,7.208826897054232
2026-05-05,2026-05-12,24032.8,23379.55,18.3,52.17498042775994,10.2,200.0,12337.0,65,663.0,123.26,539.74,4,False,False,4.374969603631353
2026-05-12,2026-05-19,23379.55,23618.0,18.55,46.09430097908129,16.64,200.0,11918.4,65,1081.6,126.11,955.49,4,False,False,8.016931802926567
2026-05-19,2026-05-26,23618.0,23913.7,19.63,45.25379394589898,10.03,200.0,12348.05,65,651.95,123.73,528.22,4,False,False,4.277760456104406
2026-06-02,2026-06-09,23483.55,23242.1,16.54,40.259951611074705,8.64,200.0,12438.4,65,561.6,123.04,438.56,4,False,False,3.525855415487523
2026-06-16,2026-06-23,23989.15,23824.1,14.35,56.326493959732616,9.99,200.0,12350.65,65,649.35,123.34,526.01,4,False,False,4.258966127288847
2026-06-30,2026-07-07,23865.75,24398.7,13.61,53.89038625129299,10.84,200.0,12295.4,65,704.6,123.24,581.36,4,True,False,4.728272362021569
2026-07-07,2026-07-14,24398.7,24052.05,11.82,64.11032609473654,8.17,200.0,12468.95,65,531.05,122.51,408.54,4,True,False,3.2764587234690974
2026-07-14,2026-07-21,24052.05,24187.7,13.28,55.88648392044407,15.55,200.0,11989.25,65,1010.75,124.58,886.17,4,True,False,7.391371436912234
2026-07-21,2026-07-28,24187.7,23985.35,12.98,55.58227916136037,10.98,200.0,12286.3,65,713.7,123.41,590.29,4,True,False,4.804456996817594
2026-07-28,2026-08-04,23985.35,24614.9,12.66,49.54538979586155,7.97,200.0,12481.95,65,518.05,122.63,395.42,4,True,False,3.167934497414266
2026-08-04,2026-08-11,24614.9,24471.7,11.93,66.86891282851559,12.68,200.0,12175.8,65,824.2,123.64,700.56,4,True,False,5.753708175232839
2026-08-11,2026-08-18,24471.7,24154.9,12.25,60.20989418384112,7.43,200.0,12517.05,65,482.95,122.34,360.61,4,True,False,2.8809503836766654
2026-08-18,2026-08-25,24154.9,24334.55,11.33,49.26186126854643,8.02,200.0,12478.7,65,521.3,122.65,398.65,4,True,False,3.194643672818483
2026-08-25,2026-09-01,24334.55,24055.8,11.53,47.85040777363575,4.53,200.0,12705.55,65,294.45,122.03,172.42,4,True,False,1.3570447560318128
2026-09-01,2026-09-08,24055.8,23635.1,11.19,43.6984492682669,10.61,200.0,12310.35,65,689.65,123.18,566.47,4,True,False,4.6015750973774106
